Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2009,Oscar Robles,MEX,AAA,33,468,0.121794871,0.051282051,2.375,0.351010101,0.432258064,0.464646464,0.896904528,0.113636363,2.8100103590608300,0.356568364,-0.14363585878163600,81.13337506252570,16.769865526736200,0.40948907365466500,110.96632739541700,8975
2010,Oscar Robles,MEX,AAA,34,458,0.133187772,0.054585152,2.44,0.354166666,0.442477876,0.484375,0.926852876,0.130208334,5.5060261087407100,0.36056338,3.2979511115700000,86.33003021351210,23.61311973205910,0.42548438081783900,123.14208478128900,8975
2012,Oscar Robles,MEX,AAA,36,482,0.091286307,0.072614107,1.257142857,0.331002331,0.389583333,0.449883449,0.839466782,0.118881118,4.525890120420180,0.341836734,1.349753798916940,73.82361706665440,8.995200331720580,0.3717776809815110,100.62519296670500,8975
2013,Oscar Robles,MEX,AAA,37,454,0.088105726,0.09030837,0.975609756,0.373464373,0.429515418,0.474201474,0.903716892,0.100737101,4.940842923315160,0.404371584,1.6736386101692900,84.19771206821490,20.245517079487400,0.40820866232401500,118.47341245233800,8975
2014,Oscar Robles,MEX,AAA,38,431,0.122969837,0.05800464,2.12,0.330645161,0.41588785,0.448924731,0.864812581,0.11827957,2.466405518949820,0.340175953,-0.13368464750237800,72.42999232692210,14.890884408182800,0.3951242505660600,112.82733383446200,8975
2015,Oscar Robles,MEX,AAA,39,324,0.132716049,0.064814814,2.047619047,0.33090909,0.417445482,0.389090909,0.806536391,0.058181819,1.772399201815780,0.3515625,-0.3845052793622020,50.29661852119700,8.100207686407670,0.3802674503712640,122.93039229960000,8975
2016,Oscar Robles,MEX,AAA,40,376,0.111702127,0.069148936,1.615384615,0.272171253,0.36,0.318042813,0.678042813,0.04587156,1.283124315,0.293729372,0.387090724427253,40.89994456953720,-5.679366443684560,0.32462041914942400,91.47324810537720,8975
2010,Matt Young,ATL,AAA,27,555,0.102702702,0.095495495,1.075471698,0.299794661,0.379746835,0.406570841,0.786317676,0.10677618,7.414824635389520,0.330254041,4.252313738688830,77.26280023610610,11.222595398187900,0.3531252658367160,115.5503580344060,8989
2011,Matt Young,ATL,AAA,28,428,0.13317757,0.137850467,0.966101694,0.273224043,0.372365339,0.346994535,0.719359874,0.073770492,6.450097340498310,0.321428571,0.22665102733299100,51.70560623381090,2.4155303952450400,0.33460941903764200,103.58180539063400,8989
2007,Jorge Velandia,TBD,AAA,32,477,0.058700209,0.199161425,0.294736842,0.249422632,0.29574468,0.357967667,0.653712347,0.108545035,4.341564701077440,0.303834808,-1.3492926228791500,42.58052310231750,-12.630215318169000,0.2959545032775150,71.1310576934578,900
2006,Jorge Velandia,CHW,AAA,31,516,0.054263565,0.166666666,0.325581395,0.290526315,0.330693069,0.410526315,0.741219384,0.12,5.348701831562330,0.336842105,1.9809794643661000,61.41803134926070,3.8566610956977300,0.33282573749246500,104.52696454655900,900
2011,Conor Gillaspie,SFG,AAA,23,503,0.131212723,0.157057654,0.835443037,0.296728971,0.388777555,0.453271028,0.842048583,0.156542057,4.793912339058380,0.339181286,-2.7046809615858400,80.12867373105360,9.202959119046470,0.3769595815327940,113.02985176159200,9009
2012,Conor Gillaspie,SFG,AAA,24,465,0.088172043,0.116129032,0.759259259,0.28087167,0.344902386,0.440677966,0.785580352,0.159806296,2.77834664625,0.291428571,-0.04286874592071400,62.178170071269400,0.6741059434665120,0.3443015446829480,102.07625996769500,9009
